,municipio,año,fecha,humedad,precipitacion,temp_min_C,temp_max_C,latitud,latitud,longitud,longitud
37561,CAMPO DE LA CRUZ,2021,2021-06-22,89.95398712158203,4.170000076293945,25.125146484375023,30.713311767578148,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37562,CANDELARIA,2021,2021-06-22,91.36394500732422,4.170000076293945,24.698449707031276,30.63216552734372,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
37563,GALAPA,2021,2021-06-22,93.85072326660156,8.90999984741211,24.542779541015648,30.165551757812523,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
37564,JUAN DE ACOSTA,2021,2021-06-22,93.36750793457033,3.799999952316284,24.379663085937523,29.558862304687523,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
37565,LURUACO,2021,2021-06-22,93.10860697428386,6.370000097486709,24.406213378906276,29.77172580295144,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
37566,MALAMBO,2021,2021-06-22,92.27294413248698,9.776666641235352,24.859460449218773,30.439060465494837,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
37567,MANATÍ,2021,2021-06-22,90.42538452148438,5.340000152587891,25.30452880859372,30.356225585937523,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
37568,PALMAR DE VARELA,2021,2021-06-22,90.58251190185548,11.510000228881836,24.965203857421898,30.570611572265648,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
37569,PIOJÓ,2021,2021-06-22,93.2037590874566,5.941666726712828,24.37646891276046,29.703804976851927,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
37570,POLONUEVO,2021,2021-06-22,91.52002461751302,11.510000228881836,24.716119384765648,30.26355387369796,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
37571,PONEDERA,2021,2021-06-22,91.45404052734376,7.840000152587891,24.803308105468773,30.679895019531276,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37572,PUERTO COLOMBIA,2021,2021-06-22,92.25579071044922,8.90999984741211,25.26204833984372,29.984033203125023,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37573,REPELÓN,2021,2021-06-22,92.11904737684462,6.455000153294317,24.735396321614587,30.034479890046327,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37574,SABANAGRANDE,2021,2021-06-22,90.76273345947266,11.510000228881836,25.02767333984372,30.411920166015648,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37575,SABANALARGA,2021,2021-06-22,92.82315063476562,7.65500020980835,24.49544677734372,29.975488281250023,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37576,SANTA LUCÍA,2021,2021-06-22,90.4867451985677,4.560000101725261,25.166731770833337,30.539585367838583,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37577,SANTO TOMÁS,2021,2021-06-22,91.52002461751302,11.510000228881836,24.716119384765648,30.26355387369796,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37578,SOLEDAD,2021,2021-06-22,92.20537567138672,8.90999984741211,25.007928466796898,30.739709472656276,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37579,SUAN,2021,2021-06-22,91.08086395263672,4.170000076293945,25.070520019531276,30.549218750000023,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37580,TUBARÁ,2021,2021-06-22,94.71003723144533,4.019999980926514,24.686120605468773,29.356256103515648,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37581,USIACURÍ,2021,2021-06-22,93.13516235351562,7.65500013033549,24.343530273437523,29.78082682291671,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37583,BARANOA,2021,2021-06-23,93.6007308959961,4.199999809265137,23.902978515625023,29.912500000000023,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
37584,CAMPO DE LA CRUZ,2021,2021-06-23,88.54615020751953,4.429999828338623,24.996881103515648,31.266198730468773,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37585,CANDELARIA,2021,2021-06-23,90.00309753417969,4.429999828338623,24.576074218750023,31.1611267089844,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
37586,GALAPA,2021,2021-06-23,90.55696105957033,0.4000000059604645,24.895135498046898,29.956079101562523,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
